route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
07,12TH,WKDY,1,15.0,0.0,12th St. Oakland City Center,37.803664,-122.271604,"",RICHMOND - DALY CITY/MILLBRAE
07,12TH,WKDY,0,15.0,0.1,12th St. Oakland City Center,37.803664,-122.271604,"",RICHMOND - DALY CITY/MILLBRAE
03,12TH,WKDY,1,16.0,2.1,12th St. Oakland City Center,37.803664,-122.271604,"",FREMONT - RICHMOND
03,12TH,WKDY,0,16.1,2.5,12th St. Oakland City Center,37.803664,-122.271604,"",FREMONT - RICHMOND
01,12TH,WKDY,1,13.8,4.6,12th St. Oakland City Center,37.803664,-122.271604,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,12TH,WKDY,0,13.4,5.1,12th St. Oakland City Center,37.803664,-122.271604,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
03,12TH,SUN,1,20.1,0.7,12th St. Oakland City Center,37.803664,-122.271604,"",FREMONT - RICHMOND
03,12TH,SUN,0,20.2,1.5,12th St. Oakland City Center,37.803664,-122.271604,"",FREMONT - RICHMOND
01,12TH,SUN,1,20.1,0.7,12th St. Oakland City Center,37.803664,-122.271604,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,12TH,SUN,0,20.2,1.5,12th St. Oakland City Center,37.803664,-122.271604,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
07,12TH,SAT,1,20.0,0.0,12th St. Oakland City Center,37.803664,-122.271604,"",RICHMOND - DALY CITY/MILLBRAE
07,12TH,SAT,0,20.0,0.0,12th St. Oakland City Center,37.803664,-122.271604,"",RICHMOND - DALY CITY/MILLBRAE
03,12TH,SAT,1,20.1,0.6,12th St. Oakland City Center,37.803664,-122.271604,"",FREMONT - RICHMOND
03,12TH,SAT,0,20.2,1.4,12th St. Oakland City Center,37.803664,-122.271604,"",FREMONT - RICHMOND
01,12TH,SAT,1,20.1,0.6,12th St. Oakland City Center,37.803664,-122.271604,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,12TH,SAT,0,20.2,1.4,12th St. Oakland City Center,37.803664,-122.271604,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,16TH,WKDY,1,16.1,2.4,16th St. Mission,37.765062,-122.419694,"",DUBLIN/PLEASANTON - DALY CITY
11,16TH,WKDY,0,16.0,2.2,16th St. Mission,37.765062,-122.419694,"",DUBLIN/PLEASANTON - DALY CITY
07,16TH,WKDY,1,15.0,0.0,16th St. Mission,37.765062,-122.419694,"",RICHMOND - DALY CITY/MILLBRAE
07,16TH,WKDY,0,15.0,0.1,16th St. Mission,37.765062,-122.419694,"",RICHMOND - DALY CITY/MILLBRAE
05,16TH,WKDY,1,15.0,0.0,16th St. Mission,37.765062,-122.419694,"",FREMONT - DALY CITY
05,16TH,WKDY,0,15.0,0.4,16th St. Mission,37.765062,-122.419694,"",FREMONT - DALY CITY
01,16TH,WKDY,1,13.9,4.5,16th St. Mission,37.765062,-122.419694,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,16TH,WKDY,0,14.0,4.8,16th St. Mission,37.765062,-122.419694,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,16TH,SUN,1,20.1,1.2,16th St. Mission,37.765062,-122.419694,"",DUBLIN/PLEASANTON - DALY CITY
11,16TH,SUN,0,20.3,1.7,16th St. Mission,37.765062,-122.419694,"",DUBLIN/PLEASANTON - DALY CITY
01,16TH,SUN,1,20.1,0.7,16th St. Mission,37.765062,-122.419694,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,16TH,SUN,0,20.2,1.5,16th St. Mission,37.765062,-122.419694,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,16TH,SAT,1,20.1,1.2,16th St. Mission,37.765062,-122.419694,"",DUBLIN/PLEASANTON - DALY CITY
11,16TH,SAT,0,20.2,1.6,16th St. Mission,37.765062,-122.419694,"",DUBLIN/PLEASANTON - DALY CITY
07,16TH,SAT,1,20.0,0.0,16th St. Mission,37.765062,-122.419694,"",RICHMOND - DALY CITY/MILLBRAE
07,16TH,SAT,0,20.0,0.0,16th St. Mission,37.765062,-122.419694,"",RICHMOND - DALY CITY/MILLBRAE
05,16TH,SAT,1,20.0,0.0,16th St. Mission,37.765062,-122.419694,"",FREMONT - DALY CITY
05,16TH,SAT,0,20.0,0.0,16th St. Mission,37.765062,-122.419694,"",FREMONT - DALY CITY
01,16TH,SAT,1,20.1,0.6,16th St. Mission,37.765062,-122.419694,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,16TH,SAT,0,20.2,1.4,16th St. Mission,37.765062,-122.419694,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
07,19TH,WKDY,0,15.0,0.3,19th St. Oakland,37.80787,-122.269029,"",RICHMOND - DALY CITY/MILLBRAE
03,19TH,WKDY,0,16.0,2.5,19th St. Oakland,37.80787,-122.269029,"",FREMONT - RICHMOND
01,19TH,WKDY,0,13.4,5.0,19th St. Oakland,37.80787,-122.269029,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
03,19TH,SUN,0,20.2,1.4,19th St. Oakland,37.80787,-122.269029,"",FREMONT - RICHMOND
01,19TH,SUN,0,20.2,1.4,19th St. Oakland,37.80787,-122.269029,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
07,19TH,SAT,0,20.0,0.0,19th St. Oakland,37.80787,-122.269029,"",RICHMOND - DALY CITY/MILLBRAE
03,19TH,SAT,0,20.1,1.3,19th St. Oakland,37.80787,-122.269029,"",FREMONT - RICHMOND
01,19TH,SAT,0,20.1,1.3,19th St. Oakland,37.80787,-122.269029,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
07,19TH_N,WKDY,1,15.0,0.0,19th St. Oakland,37.80787,-122.269029,"",RICHMOND - DALY CITY/MILLBRAE
03,19TH_N,WKDY,1,16.0,2.1,19th St. Oakland,37.80787,-122.269029,"",FREMONT - RICHMOND
01,19TH_N,WKDY,1,13.3,5.0,19th St. Oakland,37.80787,-122.269029,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
03,19TH_N,SUN,1,20.1,0.7,19th St. Oakland,37.80787,-122.269029,"",FREMONT - RICHMOND
01,19TH_N,SUN,1,20.1,0.7,19th St. Oakland,37.80787,-122.269029,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
07,19TH_N,SAT,1,20.0,0.0,19th St. Oakland,37.80787,-122.269029,"",RICHMOND - DALY CITY/MILLBRAE
03,19TH_N,SAT,1,20.0,0.6,19th St. Oakland,37.80787,-122.269029,"",FREMONT - RICHMOND
01,19TH_N,SAT,1,20.0,0.6,19th St. Oakland,37.80787,-122.269029,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,24TH,WKDY,1,16.1,2.4,24th St. Mission,37.752254,-122.418466,"",DUBLIN/PLEASANTON - DALY CITY
11,24TH,WKDY,0,16.0,2.2,24th St. Mission,37.752254,-122.418466,"",DUBLIN/PLEASANTON - DALY CITY
07,24TH,WKDY,1,15.0,0.0,24th St. Mission,37.752254,-122.418466,"",RICHMOND - DALY CITY/MILLBRAE
07,24TH,WKDY,0,15.0,0.1,24th St. Mission,37.752254,-122.418466,"",RICHMOND - DALY CITY/MILLBRAE
05,24TH,WKDY,1,15.0,0.0,24th St. Mission,37.752254,-122.418466,"",FREMONT - DALY CITY
05,24TH,WKDY,0,15.0,0.4,24th St. Mission,37.752254,-122.418466,"",FREMONT - DALY CITY
01,24TH,WKDY,1,13.9,4.5,24th St. Mission,37.752254,-122.418466,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,24TH,WKDY,0,14.0,4.8,24th St. Mission,37.752254,-122.418466,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,24TH,SUN,1,20.1,1.2,24th St. Mission,37.752254,-122.418466,"",DUBLIN/PLEASANTON - DALY CITY
11,24TH,SUN,0,20.3,1.7,24th St. Mission,37.752254,-122.418466,"",DUBLIN/PLEASANTON - DALY CITY
01,24TH,SUN,1,20.1,0.7,24th St. Mission,37.752254,-122.418466,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,24TH,SUN,0,20.2,1.5,24th St. Mission,37.752254,-122.418466,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,24TH,SAT,1,20.1,1.2,24th St. Mission,37.752254,-122.418466,"",DUBLIN/PLEASANTON - DALY CITY
11,24TH,SAT,0,20.2,1.6,24th St. Mission,37.752254,-122.418466,"",DUBLIN/PLEASANTON - DALY CITY
07,24TH,SAT,1,20.0,0.0,24th St. Mission,37.752254,-122.418466,"",RICHMOND - DALY CITY/MILLBRAE
07,24TH,SAT,0,20.0,0.0,24th St. Mission,37.752254,-122.418466,"",RICHMOND - DALY CITY/MILLBRAE
05,24TH,SAT,1,20.0,0.0,24th St. Mission,37.752254,-122.418466,"",FREMONT - DALY CITY
05,24TH,SAT,0,20.0,0.0,24th St. Mission,37.752254,-122.418466,"",FREMONT - DALY CITY
01,24TH,SAT,1,20.1,0.6,24th St. Mission,37.752254,-122.418466,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,24TH,SAT,0,20.2,1.4,24th St. Mission,37.752254,-122.418466,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
07,ASHB,WKDY,1,15.0,0.0,Ashby,37.853024,-122.26978,"",RICHMOND - DALY CITY/MILLBRAE
07,ASHB,WKDY,0,15.0,0.3,Ashby,37.853024,-122.26978,"",RICHMOND - DALY CITY/MILLBRAE
03,ASHB,WKDY,1,16.0,2.2,Ashby,37.853024,-122.26978,"",FREMONT - RICHMOND
03,ASHB,WKDY,0,15.9,2.0,Ashby,37.853024,-122.26978,"",FREMONT - RICHMOND
03,ASHB,SUN,1,20.1,0.8,Ashby,37.853024,-122.26978,"",FREMONT - RICHMOND
03,ASHB,SUN,0,20.0,0.2,Ashby,37.853024,-122.26978,"",FREMONT - RICHMOND
07,ASHB,SAT,1,20.0,0.0,Ashby,37.853024,-122.26978,"",RICHMOND - DALY CITY/MILLBRAE
07,ASHB,SAT,0,20.0,0.0,Ashby,37.853024,-122.26978,"",RICHMOND - DALY CITY/MILLBRAE
03,ASHB,SAT,1,20.1,0.7,Ashby,37.853024,-122.26978,"",FREMONT - RICHMOND
03,ASHB,SAT,0,20.0,0.2,Ashby,37.853024,-122.26978,"",FREMONT - RICHMOND
11,BALB,WKDY,1,16.1,2.4,Balboa Park,37.721981,-122.447414,"",DUBLIN/PLEASANTON - DALY CITY
11,BALB,WKDY,0,16.0,2.2,Balboa Park,37.721981,-122.447414,"",DUBLIN/PLEASANTON - DALY CITY
07,BALB,WKDY,1,15.0,0.0,Balboa Park,37.721981,-122.447414,"",RICHMOND - DALY CITY/MILLBRAE
07,BALB,WKDY,0,15.0,0.1,Balboa Park,37.721981,-122.447414,"",RICHMOND - DALY CITY/MILLBRAE
05,BALB,WKDY,1,15.0,0.0,Balboa Park,37.721981,-122.447414,"",FREMONT - DALY CITY
05,BALB,WKDY,0,15.0,0.4,Balboa Park,37.721981,-122.447414,"",FREMONT - DALY CITY
01,BALB,WKDY,1,14.2,4.3,Balboa Park,37.721981,-122.447414,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,BALB,WKDY,0,14.3,4.7,Balboa Park,37.721981,-122.447414,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,BALB,SUN,1,20.1,1.2,Balboa Park,37.721981,-122.447414,"",DUBLIN/PLEASANTON - DALY CITY
11,BALB,SUN,0,20.3,1.7,Balboa Park,37.721981,-122.447414,"",DUBLIN/PLEASANTON - DALY CITY
01,BALB,SUN,1,20.1,0.7,Balboa Park,37.721981,-122.447414,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,BALB,SUN,0,20.2,1.5,Balboa Park,37.721981,-122.447414,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,BALB,SAT,1,20.1,1.2,Balboa Park,37.721981,-122.447414,"",DUBLIN/PLEASANTON - DALY CITY
11,BALB,SAT,0,20.2,1.6,Balboa Park,37.721981,-122.447414,"",DUBLIN/PLEASANTON - DALY CITY
07,BALB,SAT,1,20.0,0.0,Balboa Park,37.721981,-122.447414,"",RICHMOND - DALY CITY/MILLBRAE
07,BALB,SAT,0,20.0,0.0,Balboa Park,37.721981,-122.447414,"",RICHMOND - DALY CITY/MILLBRAE
05,BALB,SAT,1,20.0,0.0,Balboa Park,37.721981,-122.447414,"",FREMONT - DALY CITY
05,BALB,SAT,0,20.0,0.0,Balboa Park,37.721981,-122.447414,"",FREMONT - DALY CITY
01,BALB,SAT,1,20.1,0.6,Balboa Park,37.721981,-122.447414,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,BALB,SAT,0,20.2,1.4,Balboa Park,37.721981,-122.447414,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,BAYF,WKDY,1,16.2,2.7,Bay Fair,37.697185,-122.126871,"",DUBLIN/PLEASANTON - DALY CITY
11,BAYF,WKDY,0,16.4,4.2,Bay Fair,37.697185,-122.126871,"",DUBLIN/PLEASANTON - DALY CITY
05,BAYF,WKDY,1,15.0,0.0,Bay Fair,37.697185,-122.126871,"",FREMONT - DALY CITY
05,BAYF,WKDY,0,15.0,0.4,Bay Fair,37.697185,-122.126871,"",FREMONT - DALY CITY
03,BAYF,WKDY,1,16.0,2.1,Bay Fair,37.697185,-122.126871,"",FREMONT - RICHMOND
03,BAYF,WKDY,0,16.0,2.5,Bay Fair,37.697185,-122.126871,"",FREMONT - RICHMOND
11,BAYF,SUN,1,20.3,1.6,Bay Fair,37.697185,-122.126871,"",DUBLIN/PLEASANTON - DALY CITY
11,BAYF,SUN,0,20.9,4.2,Bay Fair,37.697185,-122.126871,"",DUBLIN/PLEASANTON - DALY CITY
03,BAYF,SUN,1,20.1,0.7,Bay Fair,37.697185,-122.126871,"",FREMONT - RICHMOND
03,BAYF,SUN,0,20.2,1.4,Bay Fair,37.697185,-122.126871,"",FREMONT - RICHMOND
11,BAYF,SAT,1,20.2,1.5,Bay Fair,37.697185,-122.126871,"",DUBLIN/PLEASANTON - DALY CITY
11,BAYF,SAT,0,20.8,3.9,Bay Fair,37.697185,-122.126871,"",DUBLIN/PLEASANTON - DALY CITY
05,BAYF,SAT,1,20.0,0.0,Bay Fair,37.697185,-122.126871,"",FREMONT - DALY CITY
05,BAYF,SAT,0,20.0,0.0,Bay Fair,37.697185,-122.126871,"",FREMONT - DALY CITY
03,BAYF,SAT,1,20.1,0.6,Bay Fair,37.697185,-122.126871,"",FREMONT - RICHMOND
03,BAYF,SAT,0,20.1,1.3,Bay Fair,37.697185,-122.126871,"",FREMONT - RICHMOND
11,CAST,WKDY,1,16.2,2.7,Castro Valley,37.690754,-122.075567,"",DUBLIN/PLEASANTON - DALY CITY
11,CAST,WKDY,0,16.4,4.2,Castro Valley,37.690754,-122.075567,"",DUBLIN/PLEASANTON - DALY CITY
11,CAST,SUN,1,20.3,1.6,Castro Valley,37.690754,-122.075567,"",DUBLIN/PLEASANTON - DALY CITY
11,CAST,SUN,0,20.8,4.1,Castro Valley,37.690754,-122.075567,"",DUBLIN/PLEASANTON - DALY CITY
11,CAST,SAT,1,20.2,1.5,Castro Valley,37.690754,-122.075567,"",DUBLIN/PLEASANTON - DALY CITY
11,CAST,SAT,0,20.7,3.9,Castro Valley,37.690754,-122.075567,"",DUBLIN/PLEASANTON - DALY CITY
11,CIVC,WKDY,1,16.1,2.4,Civic Center/UN Plaza,37.779528,-122.413756,"",DUBLIN/PLEASANTON - DALY CITY
11,CIVC,WKDY,0,16.0,2.2,Civic Center/UN Plaza,37.779528,-122.413756,"",DUBLIN/PLEASANTON - DALY CITY
07,CIVC,WKDY,1,15.0,0.0,Civic Center/UN Plaza,37.779528,-122.413756,"",RICHMOND - DALY CITY/MILLBRAE
07,CIVC,WKDY,0,15.0,0.1,Civic Center/UN Plaza,37.779528,-122.413756,"",RICHMOND - DALY CITY/MILLBRAE
05,CIVC,WKDY,1,15.0,0.0,Civic Center/UN Plaza,37.779528,-122.413756,"",FREMONT - DALY CITY
05,CIVC,WKDY,0,15.0,0.4,Civic Center/UN Plaza,37.779528,-122.413756,"",FREMONT - DALY CITY
01,CIVC,WKDY,1,13.9,4.5,Civic Center/UN Plaza,37.779528,-122.413756,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,CIVC,WKDY,0,14.0,4.8,Civic Center/UN Plaza,37.779528,-122.413756,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,CIVC,SUN,1,20.1,1.2,Civic Center/UN Plaza,37.779528,-122.413756,"",DUBLIN/PLEASANTON - DALY CITY
11,CIVC,SUN,0,20.3,1.6,Civic Center/UN Plaza,37.779528,-122.413756,"",DUBLIN/PLEASANTON - DALY CITY
01,CIVC,SUN,1,20.1,0.7,Civic Center/UN Plaza,37.779528,-122.413756,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
01,CIVC,SUN,0,20.2,1.5,Civic Center/UN Plaza,37.779528,-122.413756,"",PITTSBURG/BAY POINT - SFIA/MILLBRAE
11,CIVC,SAT,1,20.1,1.2,Civic Center/UN Plaza,37.779528,-122.413756,"",DUBLIN/PLEASANTON - DALY CITY
