table_name,column_name,active_field
DBNAME,greaterclevelandregionaltransitauthority_bus,0
agency,agency_id,1
agency,agency_name,1
agency,agency_url,1
agency,agency_timezone,1
agency,agency_lang,1
agency,agency_phone,1
agency,agency_fare_url,0
stops,stop_id,6486
stops,stop_code,0
stops,stop_name,6486
stops,stop_desc,0
stops,stop_lat,6486
stops,stop_lon,6486
stops,zone_id,0
stops,stop_url,0
stops,location_type,45
stops,parent_station,159
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,125
routes,agency_id,125
routes,route_short_name,125
routes,route_long_name,125
routes,route_desc,0
routes,route_type,125
routes,route_url,125
routes,route_color,0
routes,route_text_color,0
trips,route_id,16241
trips,service_id,16241
trips,trip_id,16241
trips,trip_headsign,16241
trips,trip_short_name,0
trips,direction_id,16241
trips,block_id,16241
trips,shape_id,15991
stop_times,trip_id,1052315
stop_times,arrival_time,1052315
stop_times,departure_time,1052315
stop_times,stop_id,1052315
stop_times,stop_sequence,1052315
stop_times,stop_headsign,0
stop_times,pickup_type,241
stop_times,drop_off_type,241
stop_times,shape_dist_traveled,0
calendar,service_id,12
calendar,monday,12
calendar,tuesday,12
calendar,wednesday,12
calendar,thursday,12
calendar,friday,12
calendar,saturday,12
calendar,sunday,12
calendar,start_date,12
calendar,end_date,12
calendar_dates,service_id,8
calendar_dates,date,8
calendar_dates,exception_type,8
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,193183
shapes,shape_pt_lat,193183
shapes,shape_pt_lon,193183
shapes,shape_pt_sequence,193183
shapes,shape_dist_traveled,0
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
