table_name,column_name,active_field
DBNAME,metrolink_rail,0
agency,agency_id,1
agency,agency_name,1
agency,agency_url,1
agency,agency_timezone,1
agency,agency_lang,1
agency,agency_phone,1
agency,agency_fare_url,0
stops,stop_id,56
stops,stop_code,0
stops,stop_name,56
stops,stop_desc,0
stops,stop_lat,56
stops,stop_lon,56
stops,zone_id,56
stops,stop_url,56
stops,location_type,0
stops,parent_station,0
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,8
routes,agency_id,8
routes,route_short_name,8
routes,route_long_name,8
routes,route_desc,0
routes,route_type,8
routes,route_url,8
routes,route_color,8
routes,route_text_color,8
trips,route_id,223
trips,service_id,223
trips,trip_id,223
trips,trip_headsign,223
trips,trip_short_name,223
trips,direction_id,223
trips,block_id,0
trips,shape_id,223
stop_times,trip_id,2372
stop_times,arrival_time,2372
stop_times,departure_time,2372
stop_times,stop_id,2372
stop_times,stop_sequence,2372
stop_times,stop_headsign,2372
stop_times,pickup_type,6
stop_times,drop_off_type,0
stop_times,shape_dist_traveled,0
calendar,service_id,14
calendar,monday,14
calendar,tuesday,14
calendar,wednesday,14
calendar,thursday,14
calendar,friday,14
calendar,saturday,14
calendar,sunday,14
calendar,start_date,14
calendar,end_date,14
calendar_dates,service_id,20
calendar_dates,date,20
calendar_dates,exception_type,20
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,896
shapes,shape_pt_lat,896
shapes,shape_pt_lon,896
shapes,shape_pt_sequence,896
shapes,shape_dist_traveled,0
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
