table_name,column_name,active_field
DBNAME,northcountytransitdistrict_bus,0
agency,agency_id,1
agency,agency_name,1
agency,agency_url,1
agency,agency_timezone,1
agency,agency_lang,0
agency,agency_phone,0
agency,agency_fare_url,0
stops,stop_id,1959
stops,stop_code,1954
stops,stop_name,1959
stops,stop_desc,0
stops,stop_lat,1959
stops,stop_lon,1959
stops,zone_id,0
stops,stop_url,0
stops,location_type,5
stops,parent_station,32
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,36
routes,agency_id,36
routes,route_short_name,36
routes,route_long_name,36
routes,route_desc,0
routes,route_type,36
routes,route_url,36
routes,route_color,36
routes,route_text_color,36
trips,route_id,5491
trips,service_id,5491
trips,trip_id,5491
trips,trip_headsign,5490
trips,trip_short_name,0
trips,direction_id,5491
trips,block_id,5491
trips,shape_id,5491
stop_times,trip_id,205811
stop_times,arrival_time,205811
stop_times,departure_time,205811
stop_times,stop_id,205811
stop_times,stop_sequence,205811
stop_times,stop_headsign,0
stop_times,pickup_type,0
stop_times,drop_off_type,0
stop_times,shape_dist_traveled,200320
calendar,service_id,28
calendar,monday,28
calendar,tuesday,28
calendar,wednesday,28
calendar,thursday,28
calendar,friday,28
calendar,saturday,28
calendar,sunday,28
calendar,start_date,28
calendar,end_date,28
calendar_dates,service_id,17
calendar_dates,date,17
calendar_dates,exception_type,17
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,1056947
shapes,shape_pt_lat,1056947
shapes,shape_pt_lon,1056947
shapes,shape_pt_sequence,1056947
shapes,shape_dist_traveled,1056947
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
