table_name,column_name,active_field
DBNAME,metrolosangeles_bus,0
agency,agency_id,1
agency,agency_name,1
agency,agency_url,1
agency,agency_timezone,1
agency,agency_lang,1
agency,agency_phone,1
agency,agency_fare_url,0
stops,stop_id,14873
stops,stop_code,14873
stops,stop_name,14873
stops,stop_desc,0
stops,stop_lat,14873
stops,stop_lon,14873
stops,zone_id,0
stops,stop_url,0
stops,location_type,0
stops,parent_station,0
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,144
routes,agency_id,144
routes,route_short_name,142
routes,route_long_name,143
routes,route_desc,1
routes,route_type,144
routes,route_url,4
routes,route_color,23
routes,route_text_color,23
trips,route_id,34490
trips,service_id,34490
trips,trip_id,34490
trips,trip_headsign,0
trips,trip_short_name,0
trips,direction_id,34490
trips,block_id,34490
trips,shape_id,34490
stop_times,trip_id,2191328
stop_times,arrival_time,2191328
stop_times,departure_time,2191328
stop_times,stop_id,2191328
stop_times,stop_sequence,2191328
stop_times,stop_headsign,2191328
stop_times,pickup_type,45350
stop_times,drop_off_type,18849
stop_times,shape_dist_traveled,0
calendar,service_id,52
calendar,monday,52
calendar,tuesday,52
calendar,wednesday,52
calendar,thursday,52
calendar,friday,52
calendar,saturday,52
calendar,sunday,52
calendar,start_date,52
calendar,end_date,52
calendar_dates,service_id,211
calendar_dates,date,211
calendar_dates,exception_type,211
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,735062
shapes,shape_pt_lat,735062
shapes,shape_pt_lon,735062
shapes,shape_pt_sequence,735062
shapes,shape_dist_traveled,0
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
