table_name,column_name,active_field
DBNAME,massachusettsbaytransportationauthority_bus,0
agency,agency_id,2
agency,agency_name,2
agency,agency_url,2
agency,agency_timezone,2
agency,agency_lang,2
agency,agency_phone,2
agency,agency_fare_url,0
stops,stop_id,7963
stops,stop_code,7904
stops,stop_name,7963
stops,stop_desc,0
stops,stop_lat,7963
stops,stop_lon,7963
stops,zone_id,0
stops,stop_url,0
stops,location_type,53
stops,parent_station,101
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,205
routes,agency_id,205
routes,route_short_name,204
routes,route_long_name,10
routes,route_desc,0
routes,route_type,205
routes,route_url,0
routes,route_color,200
routes,route_text_color,200
trips,route_id,83015
trips,service_id,83015
trips,trip_id,83015
trips,trip_headsign,83015
trips,trip_short_name,0
trips,direction_id,83015
trips,block_id,82994
trips,shape_id,82994
stop_times,trip_id,2697347
stop_times,arrival_time,2697347
stop_times,departure_time,2697347
stop_times,stop_id,2697347
stop_times,stop_sequence,2697347
stop_times,stop_headsign,0
stop_times,pickup_type,21
stop_times,drop_off_type,21
stop_times,shape_dist_traveled,0
calendar,service_id,74
calendar,monday,74
calendar,tuesday,74
calendar,wednesday,74
calendar,thursday,74
calendar,friday,74
calendar,saturday,74
calendar,sunday,74
calendar,start_date,74
calendar,end_date,74
calendar_dates,service_id,17
calendar_dates,date,17
calendar_dates,exception_type,17
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,346042
shapes,shape_pt_lat,346042
shapes,shape_pt_lon,346042
shapes,shape_pt_sequence,346042
shapes,shape_dist_traveled,0
frequencies,trip_id,21
frequencies,start_time,21
frequencies,end_time,21
frequencies,headway_secs,21
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
